Simulation,Time,Data,Var
14,6.5,0.092161017,DON-3-GlcA (nmol/hr)
14,7.875,,DON-3-GlcA (nmol/hr)
14,14,,DON-3-GlcA (nmol/hr)
14,20.205,0.076537404,DON-3-GlcA (nmol/hr)
15,2.015,,DON-3-GlcA (nmol/hr)
15,6.255,0.026423539,DON-3-GlcA (nmol/hr)
15,13.98,0.008667181,DON-3-GlcA (nmol/hr)
15,20.755,0.032402792,DON-3-GlcA (nmol/hr)
15,22.655,0.076271187,DON-3-GlcA (nmol/hr)
16,0.25,0.104555085,DON-3-GlcA (nmol/hr)
16,1.165,,DON-3-GlcA (nmol/hr)
16,2.415,,DON-3-GlcA (nmol/hr)
16,3.375,,DON-3-GlcA (nmol/hr)
16,4.125,,DON-3-GlcA (nmol/hr)
16,5.25,,DON-3-GlcA (nmol/hr)
16,6.75,,DON-3-GlcA (nmol/hr)
16,8.5,,DON-3-GlcA (nmol/hr)
16,10.125,,DON-3-GlcA (nmol/hr)
16,10.875,0.165254238,DON-3-GlcA (nmol/hr)
16,11.5,0.059427966,DON-3-GlcA (nmol/hr)
16,12.75,0.074152543,DON-3-GlcA (nmol/hr)
16,15.84,,DON-3-GlcA (nmol/hr)
16,19.34,0.038354764,DON-3-GlcA (nmol/hr)
16,21,0.014936441,DON-3-GlcA (nmol/hr)
16,22.25,,DON-3-GlcA (nmol/hr)
1,2.185,,DON-15-GlcA (nmol/hr)
1,6.325,,DON-15-GlcA (nmol/hr)
1,9.555,,DON-15-GlcA (nmol/hr)
1,13.405,,DON-15-GlcA (nmol/hr)
1,17.88,,DON-15-GlcA (nmol/hr)
1,20.75,,DON-15-GlcA (nmol/hr)
2,0.085,,DON-15-GlcA (nmol/hr)
2,0.71,,DON-15-GlcA (nmol/hr)
2,1.58,,DON-15-GlcA (nmol/hr)
2,3.87,,DON-15-GlcA (nmol/hr)
2,6.83,,DON-15-GlcA (nmol/hr)
2,9.065,,DON-15-GlcA (nmol/hr)
2,10.65,,DON-15-GlcA (nmol/hr)
2,11.53,0.249840103,DON-15-GlcA (nmol/hr)
2,12.88,0.054903886,DON-15-GlcA (nmol/hr)
2,18.265,0.019144374,DON-15-GlcA (nmol/hr)
3,1.165,,DON-15-GlcA (nmol/hr)
3,4.745,,DON-15-GlcA (nmol/hr)
3,9.495,,DON-15-GlcA (nmol/hr)
3,15.495,,DON-15-GlcA (nmol/hr)
3,21.91,,DON-15-GlcA (nmol/hr)
4,1.75,,DON-15-GlcA (nmol/hr)
4,5.755,,DON-15-GlcA (nmol/hr)
4,12.005,,DON-15-GlcA (nmol/hr)
4,19.5,,DON-15-GlcA (nmol/hr)
5,1.29,,DON-15-GlcA (nmol/hr)
5,3.79,,DON-15-GlcA (nmol/hr)
5,6.705,,DON-15-GlcA (nmol/hr)
5,9.245,,DON-15-GlcA (nmol/hr)
5,11.915,,DON-15-GlcA (nmol/hr)
5,17.79,0.027531885,DON-15-GlcA (nmol/hr)
6,1.25,,DON-15-GlcA (nmol/hr)
6,3.35,,DON-15-GlcA (nmol/hr)
6,5.71,,DON-15-GlcA (nmol/hr)
6,7.875,,DON-15-GlcA (nmol/hr)
6,13.165,,DON-15-GlcA (nmol/hr)
6,20.385,0.013318362,DON-15-GlcA (nmol/hr)
7,0.75,,DON-15-GlcA (nmol/hr)
7,2.265,,DON-15-GlcA (nmol/hr)
7,4.975,,DON-15-GlcA (nmol/hr)
7,7.375,,DON-15-GlcA (nmol/hr)
7,8.995,,DON-15-GlcA (nmol/hr)
7,12.745,,DON-15-GlcA (nmol/hr)
7,18.665,0.031763779,DON-15-GlcA (nmol/hr)
8,0.64,,DON-15-GlcA (nmol/hr)
8,1.925,,DON-15-GlcA (nmol/hr)
8,4.97,,DON-15-GlcA (nmol/hr)
8,8.51,,DON-15-GlcA (nmol/hr)
8,13.69,,DON-15-GlcA (nmol/hr)
8,20.395,,DON-15-GlcA (nmol/hr)
9,2.45,,DON-15-GlcA (nmol/hr)
9,6.79,,DON-15-GlcA (nmol/hr)
9,9.9,,DON-15-GlcA (nmol/hr)
9,11.895,,DON-15-GlcA (nmol/hr)
